EAN;TITRE UK;REF BEMS;GENRE;PVP;PA;STOCK;RELEASE DATE;DATE IN;PEGI;POIDS;EAN ASSOC;IMG2;IMG3;IMG4;IMG5;IMG6;DESC UK;LICENCE;FABRICANT;INTRASTAT;PAYS ORIGINE;TAILLE 
3760158111597;HELLO KITTY - Light-Up Figure - 10 inch;228323;;44.99;27.00;2;;20231206;0;0.623;;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811159/m/FIGTKPO811159_2.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811159/m/FIGTKPO811159_3.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811159/m/FIGTKPO811159_4.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811159/m/FIGTKPO811159_5.jpg;;;Hello Kitty;Teknofun;9405-2140;CN; 
3760158113201;HELLO KITTY - Unicorn - LED Lamp 3inch;228321;;15.99;8.76;11;;20231206;0;0.069;;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811320/m/FIGTKPO811320_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811320/m/FIGTKPO811320_3.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811320/m/FIGTKPO811320_4.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811320/m/FIGTKPO811320_5.png;;;Hello Kitty;Teknofun;9405-2140;CN; 
3760158114192;POKEMON - Pikachu - Wireless Charger & USB - 10inch;228214;;59.99;35.60;17;;;0;0.895;;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811419/m/FIGTKPO811419_2.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811419/m/FIGTKPO811419_3.png;https://www.pro-bems.com/IMAGES/images_1/FIGTKPO811419/m/FIGTKPO811419_4.png;;;;Pokemon;Teknofun;9504-5000;CN; 
8445484252323;DISNEY - Princess - Shopping Bag;228132;;3.49;1.70;100;;20231129;0;0.435;;;;;;;;DISNEY;;6305-3290;CN; 
5060949245608;NASA - Gift Box - Mug 400ml + Puzzle 100pc;228097;;14.99;7.00;4;;20231204;0;0.365;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360007/m/FIGFIZZ360007_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360007/m/FIGFIZZ360007_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360007/m/FIGFIZZ360007_4.jpg;;;;Nasa;Fizz Creation;6912-0021;CN; 
5060949245165;NASA - 3D Heat Mug Change - 320 ml;228091;;14.99;7.00;8;;20231204;0;0.365;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360011/m/FIGFIZZ360011_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360011/m/FIGFIZZ360011_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360011/m/FIGFIZZ360011_4.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360011/m/FIGFIZZ360011_5.jpg;;;Nasa;Fizz Creation;6912-0021;CN; 
5060949245103;NASA - Logo Light - 22cm;228076;;29.99;14.50;2;;20231204;0;0.395;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360001/m/FIGFIZZ360001_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360001/m/FIGFIZZ360001_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ360001/m/FIGFIZZ360001_4.jpg;;;;Nasa;Fizz Creation;9405-2940;CN; 
5060897228425;SONIC - Tubez Light - 18,5 cm;228075;;17.99;8.50;3;;20231204;0;0.395;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2170F/m/FIGFIZZ2170F_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2170F/m/FIGFIZZ2170F_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2170F/m/FIGFIZZ2170F_4.jpg;;;;Sonic;Fizz Creation;9405-2990;CN; 
3770027194903;ONE PIECE - Ice Tea - Zoro - Can 33 Cl;228068;;2.59;1.29;100;;20231207;0;0.5;3770027194897;;;;;;;One Piece;UltraPop;2202-1000;FR; 
3770027194927;ONE PIECE - Ice Tea - Luffy - Can 33 Cl;228067;;2.59;1.29;100;;20231207;0;0.5;3770027194910;;;;;;;One Piece;UltraPop;2202-1000;FR; 
